,sqft_living,grade,bathrooms,distance_to_center,property_age,bedrooms,view,lat,floors,waterfront
183,1050,7,1.5,20.549110586700174,19,2,0,47.3848,2.0,0
184,3130,9,2.75,12.519659673055008,22,4,0,47.6993,2.0,0
185,4090,10,3.0,7.77917146997219,29,5,2,47.6627,1.0,0
186,1490,8,1.75,20.587171265919643,46,4,0,47.3099,1.0,0
187,1900,8,2.5,13.539106267393622,28,3,0,47.62,2.0,0
188,1330,6,1.0,3.0483747792355276,114,4,0,47.65,1.5,0
189,2230,8,2.25,9.288556868232513,40,3,0,47.6647,1.0,0
190,1650,7,1.75,10.576503925925328,38,3,0,47.726,1.0,0
191,1190,6,1.0,12.157499232866854,56,3,0,47.4616,1.0,0
192,2140,8,2.5,6.539139049929494,56,3,0,47.5505,1.0,0
193,2180,7,2.5,10.66852799428786,53,3,0,47.7606,1.0,0
194,1060,7,1.0,9.917133510651654,67,3,0,47.7481,1.0,0
195,1690,8,2.5,22.69093130234404,12,3,0,47.2779,2.0,0
196,1970,7,2.0,3.920852355110421,95,4,0,47.5511,1.5,0
197,2150,8,2.5,4.38226322213386,8,3,0,47.5488,2.0,0
198,1910,7,2.5,20.235162854613232,18,3,0,47.5385,2.0,0
199,1350,7,1.75,21.02752778995024,46,3,0,47.4058,1.0,0
200,860,6,1.0,9.63235083311486,72,3,0,47.5093,1.0,0
201,1940,8,2.5,17.618404741425874,21,3,0,47.3777,2.0,0
202,1010,7,1.0,5.562855221742659,63,3,0,47.675,1.0,0
203,1300,7,1.5,21.055791793976073,39,3,0,47.3025,1.0,0
204,910,6,1.0,11.996402236572491,53,3,0,47.4787,1.0,0
205,2480,9,1.75,7.091494297727785,49,4,0,47.5378,1.0,0
206,2440,8,2.5,12.34590962854146,5,3,0,47.7073,2.0,0
207,1010,7,1.0,3.2232357986589304,100,3,0,47.5733,1.0,0
208,900,6,0.75,10.077738498417727,74,2,0,47.4604,1.0,0
209,2300,7,3.0,6.961790146835523,21,6,0,47.7067,2.0,0
210,1550,8,2.25,21.95099912949175,22,4,0,47.354,2.0,0
211,1270,8,2.25,4.623722875682895,1,3,0,47.6647,2.0,0
212,2240,9,2.5,14.731535018153334,32,4,0,47.6143,1.0,0
213,2714,9,2.5,20.054673375890932,10,3,0,47.3185,2.0,0
214,1720,8,2.75,5.1372602039328665,37,4,0,47.5458,2.0,0
215,850,6,1.0,8.250238826238482,92,2,0,47.4889,1.0,0
216,3300,9,3.0,6.307961445225415,24,5,3,47.5673,1.0,0
217,2250,8,2.5,6.782398925921067,15,3,0,47.5133,2.0,0
218,3900,8,2.25,2.28054759747389,68,2,3,47.5884,1.0,0
219,1320,8,1.5,7.657313206758837,68,2,0,47.7145,1.0,0
220,2760,10,2.5,14.389579714442258,16,4,0,47.5836,2.0,0
221,1750,7,2.0,14.466608222169913,54,3,0,47.398,1.0,0
222,2330,8,2.25,12.336229626278616,28,4,0,47.7663,2.0,0
223,2220,8,2.25,16.804700562232647,49,3,0,47.3758,1.0,0
224,2020,7,2.25,21.15753060065009,21,3,0,47.3828,2.0,0
225,1250,7,2.25,6.763175719738805,73,3,0,47.5123,1.0,0
226,1510,8,2.0,16.459684846311866,10,2,0,47.7076,1.0,0
227,1720,7,2.25,21.768771583418644,37,4,0,47.2922,1.0,0
228,1430,7,1.0,14.798473547469426,54,3,0,47.4075,1.0,0
229,1480,7,2.5,14.808320012162705,11,3,0,47.6794,2.0,0
230,1450,7,1.75,10.996531142897195,37,2,4,47.4497,2.0,1
231,2280,7,2.75,9.786809682904869,55,4,0,47.5218,1.0,0
232,2940,8,2.75,20.444485019614998,37,6,0,47.3103,1.0,0
233,1000,6,1.0,20.40753889845442,54,2,0,47.5687,1.0,0
234,2480,7,1.5,3.6290257738730523,68,3,0,47.5575,1.5,0
235,3760,10,4.0,7.562479803181227,32,5,0,47.6489,2.0,0
236,2220,7,2.0,25.37047007836372,39,3,0,47.3459,1.0,0
237,1970,7,1.0,1.452455373113906,10,4,0,47.6136,1.5,0
238,3830,10,3.5,18.08137971609471,22,3,0,47.7641,2.0,0
239,4410,9,2.5,18.55986097987284,50,6,2,47.3376,1.0,0
240,1430,7,1.75,19.96778790328566,47,3,0,47.3173,1.0,0
241,830,6,1.0,5.598836803608627,75,2,0,47.5308,1.0,0
242,1430,7,1.0,4.847217564296371,90,2,0,47.6727,1.5,0
243,1300,6,1.0,20.366465356096533,61,3,0,47.3221,1.0,0
244,1030,7,1.0,5.048677517347762,97,2,2,47.6779,1.0,0
245,2740,9,2.5,20.83791271459975,25,3,0,47.3076,2.0,0
246,3650,9,2.5,12.297866168163198,15,4,4,47.6338,1.0,1
247,720,6,1.5,5.945899973648519,61,2,0,47.5218,1.0,0
248,2010,7,2.0,23.316727267915297,39,4,0,47.2785,1.0,0
249,1560,6,1.75,5.449736848185714,97,3,0,47.6846,1.0,0
250,1810,7,2.0,16.813630362231354,37,3,0,47.3656,1.0,0
251,3360,9,2.5,15.615830899931904,14,4,0,47.4369,2.0,0
252,1510,8,2.25,30.72793918445583,24,3,0,47.4616,2.0,0
253,1400,7,1.0,5.387992392729781,62,3,0,47.5405,1.0,0
254,1730,7,2.5,19.069544645632075,28,3,0,47.3507,2.0,0
255,1420,7,2.0,6.360339976587259,87,2,2,47.6979,1.5,0
256,2360,7,1.75,5.449762521825035,60,4,0,47.5278,1.0,0
257,1580,7,1.75,12.505313734043716,41,3,0,47.4756,1.0,0
258,1230,7,1.0,28.51239106574506,36,3,0,47.4437,1.0,0
259,2460,8,2.5,12.443874775455916,9,4,0,47.7048,2.0,0
260,1660,8,1.0,2.504435700684258,104,3,0,47.6362,1.5,0
261,1270,7,1.75,12.965792892062275,55,3,0,47.4207,1.0,0
262,2100,10,2.25,13.334375382001372,36,3,0,47.6154,2.0,0
263,770,5,1.0,1.6883330155035519,85,2,0,47.5964,1.0,0
264,760,5,0.75,10.738035613376079,79,1,4,47.4683,1.0,1
265,1700,7,2.5,15.844159429485957,27,4,0,47.4045,2.0,0
266,1120,7,1.0,3.7778723126616955,61,3,0,47.5544,1.0,0
267,1070,7,1.0,5.477222367006501,78,2,0,47.6802,1.0,0
268,2070,8,2.5,21.31445666896748,36,3,0,47.2988,1.0,0
269,5050,11,3.25,5.380859063874177,7,4,2,47.6312,1.5,0
270,5310,11,4.75,15.958461085484702,26,4,0,47.7285,2.0,0
271,1040,7,1.0,7.279026977753025,76,2,0,47.7107,1.0,0
272,1700,7,1.0,19.286059485379674,48,3,0,47.3271,1.0,0
273,1300,7,1.0,7.848033252154805,54,3,0,47.5053,1.0,0
274,1080,7,1.75,4.890815252446421,12,3,0,47.6601,1.0,0
275,2653,8,2.5,15.356938496988858,9,3,0,47.4145,2.0,0
276,2290,8,2.0,12.382555139492576,55,3,0,47.4672,1.0,0
277,3820,9,2.75,11.249993968410724,1,4,0,47.7618,2.0,0
278,2210,8,2.5,19.68860687046047,18,4,0,47.3828,1.0,0
279,2390,6,1.75,5.689270984123305,107,3,0,47.5362,1.0,0
280,2600,7,1.75,15.714050729171674,46,4,0,47.3954,1.0,0
281,860,6,1.0,7.548060004329876,84,2,0,47.5048,1.0,0
282,3830,9,3.0,2.226084242464117,21,5,1,47.6166,2.0,0
283,3500,9,2.5,15.243185409777604,10,4,0,47.6811,2.0,0
284,2420,8,3.0,10.930633008324694,27,3,0,47.7486,1.0,0
285,2720,9,2.5,17.107973256625826,23,4,0,47.3846,2.0,0
286,2500,7,2.25,13.590158213860125,36,5,0,47.7564,1.0,0
287,1670,7,1.75,10.185284984805921,35,3,0,47.7198,1.0,0
288,2900,8,2.25,9.429490661691068,30,5,0,47.5461,1.0,0
289,1640,7,1.0,9.162842068655284,61,2,0,47.5712,1.0,0
290,1890,7,2.5,12.314541916824416,47,4,0,47.4281,2.0,0
291,2950,8,1.75,8.953634411524046,40,4,2,47.7128,1.0,0
292,2160,9,2.5,19.141567807423442,23,4,0,47.3341,2.0,0
293,3280,8,3.0,8.41911635437849,29,4,0,47.5399,2.0,0
294,1970,8,2.0,3.1146360884680853,86,3,3,47.5717,2.0,0
295,3360,10,2.5,14.74355284427278,21,4,0,47.5951,2.0,0
296,1320,7,2.0,19.548208641157846,22,3,0,47.3536,1.0,0
297,2650,8,2.5,10.724796373854222,25,3,0,47.5084,2.0,0
298,2030,7,1.5,3.433183619832387,52,3,0,47.5586,1.0,0
299,1590,7,1.75,11.617942938412293,58,3,2,47.4427,1.0,0
300,4550,10,5.0,11.918998471414099,13,4,4,47.6053,1.0,1
301,2440,8,2.5,17.800504642038813,17,3,0,47.3494,2.0,0
302,1940,7,2.5,6.655212416302049,67,3,0,47.6933,1.0,0
303,2040,8,2.5,23.370867320039412,9,3,0,47.3537,2.0,0
304,2200,7,2.25,8.997775807772568,51,3,0,47.476,1.0,0
305,1920,8,1.75,2.008173735764135,102,3,0,47.6239,1.0,0
306,1800,8,2.75,12.086400211018548,50,4,0,47.7776,1.0,0
307,2180,8,2.25,13.092113834814231,31,4,0,47.6459,2.0,0
308,1010,6,1.0,4.650779277643513,107,2,0,47.6692,1.5,0
309,3320,8,2.75,8.545599641817104,55,4,0,47.5376,2.0,0
310,2370,8,2.5,1.8160764748444833,87,4,2,47.601,1.5,0
311,1660,6,1.75,23.755390709478647,100,5,0,47.529,1.5,0
312,3650,10,2.5,2.54557060058405,94,5,4,47.6345,2.0,0
313,4290,11,3.25,11.428669411962936,18,4,3,47.5503,1.0,0
314,4290,11,3.25,11.428669411962936,18,4,3,47.5503,1.0,0
315,1950,8,2.25,14.80962808401624,36,4,0,47.4441,1.0,0
316,2590,8,2.0,8.946798241204695,67,3,0,47.7357,1.0,0
317,1930,8,2.5,19.758175026785853,27,3,0,47.346,1.0,0
318,1470,7,1.0,4.024691280587543,99,2,0,47.6638,1.0,0
319,800,6,1.0,8.720427507858034,72,4,0,47.48,1.0,0
320,3150,9,2.75,9.730671301126039,2,5,0,47.6759,2.0,0
321,2030,8,2.25,14.287986391105749,31,3,0,47.5162,2.0,0
322,1450,7,2.0,23.943536318052853,12,3,0,47.2639,1.0,0
323,1510,7,1.75,21.72058346312845,46,3,0,47.2929,1.0,0
324,1240,6,1.0,7.690425847278741,31,2,0,47.4957,1.0,0
325,1240,6,1.0,7.690425847278741,31,2,0,47.4957,1.0,0
326,3030,9,2.5,15.992687579334623,28,3,0,47.7721,2.0,0
327,2050,9,2.0,2.682164032664339,93,4,0,47.644,1.5,0
328,1000,7,1.0,9.28789082617543,63,3,0,47.472,1.0,0
329,2370,9,2.25,7.8232966853157295,38,3,0,47.592,1.0,0
330,2800,9,3.5,5.092369208176792,13,4,0,47.669,2.0,0
331,2240,7,1.75,12.870596953244727,60,6,0,47.42,2.0,0
332,1810,8,2.0,32.35709658915517,24,3,2,47.1913,1.0,0
333,1070,7,1.0,4.173114498533722,91,2,0,47.6666,1.0,0
334,2490,9,2.0,6.122311582767982,47,4,0,47.5639,2.0,0
335,1960,7,2.5,22.12561361943751,12,4,0,47.3483,2.0,0
336,2930,9,2.75,13.47429917615412,11,3,0,47.7648,1.0,0
337,1510,7,2.0,5.18901408248511,104,4,0,47.6794,1.5,0
338,1420,7,1.75,10.22762183767179,61,3,0,47.7535,1.0,0
339,1740,7,1.75,9.329464544476581,61,3,0,47.4945,1.0,0
340,2560,7,1.75,12.72002757148301,53,4,0,47.6945,2.0,0
341,3040,9,3.5,10.035553849471478,5,4,0,47.5222,2.0,0
342,2500,8,1.75,8.033894130488056,58,3,0,47.7222,1.0,0
343,1275,6,1.75,17.31254167369038,24,4,0,47.3796,1.0,0
344,2580,8,2.5,21.892702089209276,13,4,0,47.5374,2.0,0
345,1000,6,1.0,9.128765795627597,72,4,0,47.4897,1.0,0
346,1000,6,1.0,9.128765795627597,72,4,0,47.4897,1.0,0
347,1070,6,1.0,15.092188494669436,85,2,0,47.4716,1.0,0
348,1390,7,2.0,18.689285524983422,28,3,0,47.3581,1.0,0
349,2500,7,1.75,11.46615258078082,42,4,0,47.7713,1.0,0
350,560,4,0.75,22.8234369172783,48,1,0,47.675,1.0,0
351,2270,9,2.75,6.044833121489377,50,4,0,47.5603,2.0,0
352,1900,7,1.0,13.231677614070318,61,3,0,47.4147,1.0,0
353,990,7,1.0,5.191095624787539,108,2,2,47.68,1.0,0
354,1550,7,1.5,20.552206057057678,46,4,0,47.3117,1.0,0
355,2200,7,1.75,4.999613408756133,60,4,0,47.543,1.0,0
356,1910,7,2.5,21.966719364524117,10,4,0,47.3607,2.0,0
357,1750,7,1.0,9.355258234073034,61,4,0,47.5759,1.5,0
358,1330,7,1.0,9.904866432550781,61,3,0,47.6891,1.0,0
359,2440,9,2.5,3.6504084472746894,15,3,2,47.565,2.0,0
360,1640,7,2.5,16.851718631908803,23,3,0,47.6359,2.0,0
361,2760,9,2.5,12.637559771876868,37,5,0,47.4769,2.0,0
362,1820,7,2.5,20.87991746548408,21,4,0,47.3845,2.0,0
363,2110,8,2.5,8.363740238942908,2,3,0,47.6743,1.0,0
364,3040,8,2.5,8.354335413728998,49,5,2,47.5651,1.0,0
365,1840,7,2.0,30.31896382935286,21,3,0,47.4853,2.0,0
366,2990,9,2.5,10.80930424383311,13,4,0,47.4508,2.0,0
367,3520,10,2.5,14.921865911054393,24,4,0,47.6375,2.0,0
368,2440,8,2.75,13.580010355517999,26,4,0,47.5944,1.0,0
369,2090,7,3.0,10.72720194826541,29,4,0,47.4888,1.0,0
370,1430,7,2.25,9.339832862870766,22,3,0,47.5112,2.0,0
371,2180,7,2.25,11.39995895673201,61,4,0,47.7711,1.0,0
372,2180,7,2.25,11.39995895673201,61,4,0,47.7711,1.0,0
373,3450,9,3.0,22.453445823580342,11,5,0,47.2813,2.0,0
374,1450,7,2.25,9.738288238470647,21,3,0,47.5038,2.0,0
375,3230,10,2.5,17.002176821925193,11,4,0,47.5823,2.0,0
376,1640,7,1.75,7.7254544458169425,75,3,0,47.7164,1.0,0
377,1590,7,3.0,21.550951821917298,18,3,0,47.3624,1.0,0
378,2020,7,2.0,5.314697194242197,55,4,0,47.6831,2.0,0
379,1300,7,1.5,1.5290622989983629,1,3,0,47.592,1.5,0
380,1380,6,1.5,11.590426378370875,61,2,0,47.7461,1.0,0
381,4040,10,3.0,15.187758710560294,29,3,0,47.7268,2.0,0
382,2130,7,2.25,19.211622574861877,14,4,0,47.7237,2.0,0
383,2550,8,2.25,11.180151321395877,47,4,0,47.6283,1.0,0
384,4800,11,3.5,9.322809986978088,17,5,2,47.5543,2.0,0
385,2510,8,2.25,6.37190216908819,46,4,0,47.5483,2.0,0
386,1410,7,2.0,13.673535782105537,32,3,0,47.7591,1.0,0
