bedrooms,bathrooms,sqft_living,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,sqft_living15,sqft_lot15,lot_to_living_ratio,property_age,distance_to_center
3,1.0,1590,1.5,0,0,3,6,1590,0,1944,0,47.4789,1460,8400,8.176100628930818,71,8.81851578368381
4,1.0,1460,1.5,0,0,3,8,1340,120,1928,0,47.533,990,4200,2.6301369863013697,87,5.104798741955492
2,1.0,1430,1.0,0,0,3,7,1110,320,1944,0,47.7307,1380,7473,5.467832167832168,71,8.715204722134995
2,2.5,1320,1.0,0,0,3,8,660,660,2004,0,47.5364,1420,2198,1.4825757575757577,11,5.061533450252333
3,1.5,1660,2.0,0,0,3,8,1660,0,1907,0,47.6352,1690,4000,2.891566265060241,108,2.340404941428171
4,2.5,3200,2.0,0,0,3,9,3200,0,2006,0,47.666,1650,6850,2.3546875,9,4.8918635380377795
4,2.5,2750,1.0,0,3,4,8,1380,1370,1948,0,47.4938,2460,13950,5.072727272727272,67,7.907197914852869
1,1.0,1180,1.5,0,2,4,8,840,340,1910,0,47.5561,1420,4000,3.389830508474576,105,4.639670052287506
4,2.5,2052,2.0,0,0,3,8,2052,0,2014,0,47.2824,2052,5250,1.814327485380117,1,22.436786273464506
3,2.5,2530,2.5,0,4,3,9,2530,0,1915,1999,47.5465,2380,7000,2.766798418972332,16,5.1479572161887965
3,1.0,1060,1.0,0,0,3,6,1060,0,1943,0,47.7281,1768,10800,18.90566037735849,72,9.56335030748222
5,2.25,2070,1.0,0,0,4,7,1080,990,1958,0,47.6095,1740,9225,5.066666666666666,57,9.818592448883425
4,2.5,2440,2.0,0,0,3,7,2440,0,1999,0,47.3817,1860,6072,2.906967213114754,16,16.62879034557137
3,1.0,1020,1.0,0,0,3,7,1020,0,1941,0,47.6787,2370,6695,6.0,74,5.4702345298297
3,2.75,2030,1.0,0,0,5,8,1400,630,1965,0,47.626,1780,8160,3.793103448275862,50,10.372127539207982
3,2.25,2260,2.0,0,0,3,7,2260,0,1990,0,47.7537,2360,14893,7.5725663716814156,25,10.328526715575979
6,3.5,3000,1.0,0,0,3,8,1500,1500,1979,0,47.7226,1400,8403,2.800333333333333,36,8.188686441929185
5,3.0,2670,1.0,0,0,3,7,1370,1300,1981,0,47.6895,2580,10703,4.404868913857678,34,11.091463934246283
4,1.0,1150,1.5,0,0,3,6,1150,0,1907,0,47.562,840,3030,5.217391304347826,108,3.8198675312893924
5,2.75,2770,1.0,0,0,3,7,1490,1280,1979,0,47.4847,1920,6486,2.207942238267148,36,8.611168850409566
4,1.5,1790,1.5,0,0,5,7,1790,0,1928,0,47.5749,1710,4080,2.2793296089385473,87,2.892317060517663
3,2.25,2100,2.0,0,0,3,8,2100,0,1979,0,47.3833,2730,5999,6.679523809523809,36,18.84729142658781
3,2.5,2630,2.0,0,0,3,9,2630,0,1989,0,47.7695,2800,10123,3.852091254752852,26,11.785952050414632
4,2.0,2240,1.0,0,0,5,8,1120,1120,1961,0,47.693,1790,11040,4.928571428571429,54,9.728648576617639
3,2.5,3370,2.0,0,2,4,8,2840,530,1912,2001,47.5442,1500,6550,1.943620178041543,14,4.833324590422918
6,2.75,3200,1.0,0,2,4,8,1600,1600,1953,0,47.492,2220,9500,2.875,62,8.029354927303183
3,2.25,1500,2.0,0,0,3,7,1500,0,1986,0,47.7159,1470,2418,1.7946666666666666,29,9.68215717996352
2,1.0,1040,1.0,0,0,3,6,1040,0,1973,0,47.3756,1100,7575,13.384615384615385,42,15.977648318255044
1,1.0,550,2.0,0,0,3,7,550,0,2008,0,47.616,1460,1385,2.3254545454545457,7,1.0832357771434784
5,3.25,4115,2.0,0,0,3,9,4115,0,2014,0,47.6847,3950,6765,1.922235722964763,1,15.722646826831086
3,2.5,1820,2.0,0,0,3,7,1820,0,1983,0,47.4575,1860,8625,4.4423076923076925,32,11.893491202041021
3,1.0,1190,1.0,0,0,3,7,1190,0,1955,0,47.4258,1190,9364,7.730252100840336,60,12.47182463216748
1,1.5,1100,1.5,0,0,4,8,1100,0,1978,0,47.3829,1400,4560,3.137272727272727,37,15.433781555488169
4,2.0,1210,1.0,0,0,4,7,1210,0,1941,0,47.5275,1210,6000,3.512396694214876,74,5.461722136029934
3,2.25,2220,2.0,0,0,3,8,2220,0,1987,0,47.7635,2420,10232,4.414414414414415,28,11.078092471233326
4,1.75,1700,1.0,0,0,5,7,1120,580,1981,0,47.4801,1560,7800,4.588235294117647,34,11.925494244694857
5,2.75,3060,1.0,0,0,5,8,1600,1460,1979,0,47.5052,2190,7600,2.292483660130719,36,7.222793790653082
4,1.75,1620,1.0,0,0,3,7,1620,0,1968,0,47.3808,1890,9975,6.5,47,16.57182837091158
3,2.5,1930,1.0,0,0,3,7,1330,600,1961,0,47.7481,1940,6180,3.2020725388601035,54,9.806270287638334
5,3.0,2520,1.0,0,0,3,8,1550,970,2004,0,47.4938,1700,8000,2.1825396825396823,11,8.56163895343886
4,3.25,3760,1.5,0,0,5,9,2400,1360,1950,0,47.6687,3430,11050,2.904255319148936,65,5.362424733237526
4,3.0,2740,1.0,0,0,3,8,1670,1070,1980,0,47.4538,2330,9940,3.9872262773722627,35,14.3090237174744
2,1.0,1000,1.0,0,0,3,6,1000,0,1902,0,47.6088,1940,4300,5.12,113,1.1863657523994067
3,1.5,1550,2.0,0,0,4,7,1550,0,1922,0,47.7072,1820,7200,3.247741935483871,93,7.0982027600992526
2,1.0,750,1.0,0,0,4,6,750,0,1943,0,47.5188,760,4440,6.956,72,6.1166239348609635
2,1.0,870,1.5,0,0,2,6,870,0,1906,0,47.5849,1190,4440,6.137931034482759,109,2.0356664348991456
5,1.0,1420,1.5,0,0,4,8,1420,0,1926,0,47.5807,1420,6250,4.401408450704225,89,3.1897382886417276
3,2.5,2810,2.0,0,0,3,8,2810,0,2001,0,47.6077,2860,6630,2.2419928825622777,14,14.582033831678492
3,3.0,2100,2.0,0,0,3,8,1660,440,2008,0,47.5973,1900,2400,1.1471428571428572,7,1.7078695792110752
2,1.0,950,1.0,0,0,3,6,950,0,1910,0,47.5728,1480,4000,4.2105263157894735,105,2.491352697180224
4,2.25,1995,2.0,0,0,4,8,1995,0,1981,0,47.2986,1880,7950,3.5598997493734337,34,21.324269191227394
3,1.0,800,1.0,0,0,4,6,800,0,1908,0,47.6546,1480,1472,2.87,107,3.525124888049831
4,3.0,1630,1.0,0,0,5,7,1110,520,1990,0,47.7168,1630,8082,4.678527607361963,25,7.723299026494298
4,2.5,3170,2.0,0,0,3,9,3170,0,2012,0,47.5187,1580,5100,1.608832807570978,3,8.379520717175652
4,1.75,2100,1.5,0,0,5,7,1720,380,1924,0,47.5299,1850,4400,2.0952380952380953,91,6.110411633548621
5,4.5,3732,2.5,0,0,3,10,2932,800,2001,0,47.6189,2950,4000,1.1859592711682745,14,2.239233720891231
3,1.0,1490,1.5,0,0,4,5,1490,0,1932,0,47.2597,1580,101529,38.51073825503356,83,24.429783499579315
3,2.5,2720,2.0,0,0,3,9,2720,0,2005,0,47.5422,3180,7320,2.367279411764706,10,22.50930824048254
4,2.0,1980,1.0,0,0,3,7,1980,0,1969,2003,47.3231,1520,10125,5.0762626262626265,12,22.309077106704876
2,1.0,700,1.0,0,0,3,4,700,0,1920,0,47.3882,1600,10124,19.285714285714285,95,16.142301515712298
3,1.75,1570,1.0,0,0,3,7,1080,490,1956,0,47.4608,1250,13330,9.764331210191083,59,10.05173073851638
5,1.0,2340,2.0,0,0,3,8,1810,530,1918,0,47.5895,2100,4970,2.0213675213675213,97,2.727960378034018
3,2.75,2500,2.0,0,0,5,9,2500,0,1905,0,47.6258,2810,5568,2.2272,110,1.6477663983015944
3,3.25,1540,2.0,0,0,3,8,1540,0,2011,0,47.5397,1620,1104,0.9655844155844155,4,14.985453666286922
3,1.0,1400,1.0,0,0,3,7,1060,340,1961,0,47.5119,1570,7700,6.757142857142857,54,6.535374465328828
4,2.5,2050,2.0,0,0,3,8,2050,0,1988,0,47.5641,2070,7541,3.102439024390244,27,15.28760968262083
4,1.75,2340,1.0,0,0,4,7,1360,980,1956,0,47.745,2250,9212,7.496153846153846,59,10.7282449191682
3,2.25,1530,1.0,0,0,3,7,1070,460,1979,0,47.2715,2140,13636,7.8431372549019605,36,23.12395943965177
5,3.25,3690,2.0,0,0,5,9,3690,0,1977,0,47.7672,2290,9082,3.3476964769647695,38,11.279162680885038
3,2.75,2000,1.0,0,0,3,7,1000,1000,1954,2014,47.4531,1440,7200,3.6,1,10.617784574196826
4,1.75,1530,1.5,0,0,3,7,1530,0,1968,0,47.4549,1530,11625,11.545098039215686,47,13.33862383803222
3,1.75,1690,1.0,0,0,3,8,1690,0,1984,0,47.6546,2290,52707,31.702958579881656,31,13.637131082215063
3,1.5,1590,1.5,0,0,4,7,1590,0,1971,0,47.2159,1780,21600,13.584905660377359,44,31.96503183528168
3,2.5,1400,1.0,0,0,3,7,1120,280,1988,0,47.3788,1530,7688,5.449285714285714,27,17.268049557760154
3,2.5,2060,2.0,0,0,3,8,2060,0,2014,0,47.3706,2370,4200,2.0388349514563107,1,21.968771735157773
3,2.5,2497,2.0,0,0,3,8,2497,0,2007,0,47.2873,2434,4400,1.7621145374449338,8,22.15065099294875
2,1.0,840,3.0,0,0,3,8,840,0,2008,0,47.6974,1110,1190,1.0273809523809523,7,6.349864318663759
3,2.5,2450,2.0,0,0,3,9,2450,0,2008,0,47.7749,2490,5449,1.4620408163265306,7,14.178692177672046
4,2.0,2350,1.5,0,0,4,7,1450,900,1914,0,47.6681,1640,4013,2.048936170212766,101,4.285292858317407
3,2.25,2720,2.0,0,0,3,11,2720,0,1997,0,47.5473,3170,60548,20.018382352941178,18,11.939031221827287
3,1.0,1710,1.0,0,0,3,7,1410,300,1946,0,47.6706,1610,6195,3.6228070175438596,69,5.441622891049049
3,2.5,2190,1.0,0,0,3,8,1550,640,1956,0,47.6685,2190,9540,5.2027397260273975,59,5.6052310378347485
3,2.5,1320,2.0,0,0,3,7,1320,0,2005,0,47.5355,1320,2533,1.9803030303030302,10,5.396886572712476
3,2.5,2290,2.0,0,0,3,9,2290,0,2001,0,47.5443,2290,7984,2.2222707423580785,14,8.620109313190866
2,1.0,1250,1.0,0,0,3,7,1250,0,1948,0,47.5318,1180,4494,3.6464,67,5.588149052601769
2,1.0,960,1.0,0,0,3,7,960,0,1951,0,47.6955,1350,6700,6.979166666666667,64,6.277949176442299
2,1.0,900,1.0,0,0,4,6,900,0,1938,0,47.4735,1440,268765,63.403333333333336,77,27.142062613075492
2,2.5,1570,2.0,0,0,3,7,1180,390,2009,0,47.5488,1590,2306,1.5280254777070064,6,4.236624231897886
4,1.0,1560,1.0,0,0,4,7,1170,390,1939,0,47.5093,1570,7980,5.115384615384615,76,7.169784197508024
3,2.25,2940,3.0,0,0,3,9,2940,0,2014,0,47.5482,1680,6500,2.2108843537414966,1,4.7837672048451925
6,3.0,2530,1.0,0,0,3,6,2530,0,1978,0,47.6716,1886,6000,3.5573122529644268,37,7.683625933070622
3,2.5,1950,2.0,0,0,3,7,1950,0,1992,0,47.4068,1890,7133,4.932307692307693,23,15.506626373704878
3,3.5,1360,2.0,0,0,3,8,1040,320,2007,0,47.6697,1560,1977,1.0433823529411765,8,4.748126538122516
6,3.75,2930,2.0,0,3,3,9,2930,0,2013,0,47.5441,3210,10787,5.112627986348123,2,10.932751367874383
4,3.5,3930,2.0,0,0,3,10,3930,0,2003,0,47.7497,2860,36460,11.083969465648854,12,13.974901982039237
4,2.25,2720,2.0,0,0,4,9,2720,0,1976,0,47.5616,2470,8714,3.2029411764705884,39,8.920468131851806
3,1.5,1890,1.0,0,0,5,7,1890,0,1966,0,47.3454,1510,7560,4.0476190476190474,49,18.037072856136184
3,3.25,3190,2.0,0,0,3,9,3190,0,2007,0,47.5534,2950,5198,1.6561128526645768,8,15.855909070066215
4,1.0,1100,1.0,0,0,4,7,880,220,1907,0,47.3858,1150,7110,6.463636363636364,108,16.001588176435106
4,2.5,2650,1.0,0,2,3,9,2330,320,1954,0,47.7537,3020,23135,9.52754716981132,61,10.36740106717785
2,1.0,930,1.0,0,0,4,7,930,0,1953,0,47.6952,1770,6000,5.7720430107526886,62,6.701594881035466
3,1.75,1500,1.0,0,0,3,7,1500,0,1997,0,47.7293,1970,8173,5.448666666666667,18,9.817498243461477
3,1.0,1280,1.0,0,0,3,7,1280,0,1948,0,47.5259,1380,7140,3.984375,67,5.982593736524588
4,2.5,3710,2.0,0,0,3,9,3710,0,2003,0,47.5596,3040,7491,2.0191374663072774,12,15.121983639739446
4,2.5,3070,1.0,0,0,5,8,2100,970,1958,0,47.5935,2270,8800,2.6872964169381106,57,7.5323439580364635
4,2.5,3130,2.0,0,0,3,10,3130,0,1990,0,47.56,3130,10860,3.4696485623003195,25,14.021547905247063
4,1.5,3160,1.5,0,0,4,6,1840,1320,1968,0,47.3103,1540,8611,6.2484177215189876,47,25.52086550618173
3,2.5,2456,2.0,0,0,3,8,2456,0,2012,0,47.297,2478,7212,3.0806188925081432,3,21.3790716982285
3,2.5,1870,2.0,0,0,3,8,1870,0,2003,0,47.4521,1900,3920,1.9165775401069518,12,14.522406471250088
3,1.0,1200,1.0,0,0,4,6,1200,0,1961,0,47.3262,1160,9000,8.715,54,19.349080514936304
3,1.5,1230,1.0,0,0,3,7,910,320,1927,0,47.667,1260,4488,2.4878048780487805,88,4.200643178693036
3,1.75,1790,1.0,0,0,3,7,1040,750,1960,0,47.3945,1840,12000,6.70391061452514,55,14.652481245725212
3,1.75,1910,1.5,0,0,4,8,1910,0,1963,0,47.3095,1820,14806,8.902094240837696,52,20.625889626469263
6,4.0,3600,2.0,0,0,3,9,2610,990,1945,2006,47.6531,1430,6224,1.728888888888889,9,4.6999009704868655
3,2.0,1540,2.0,0,0,3,8,1540,0,2005,0,47.5479,1560,2058,1.1863636363636363,10,16.084126893647134
4,2.25,1800,2.0,0,0,3,8,1800,0,2014,0,47.5167,1650,2752,1.528888888888889,1,6.217192056777536
3,2.5,2753,1.0,1,2,5,9,2165,588,1953,0,47.4041,2680,72513,23.61242281147839,62,15.030500912220567
3,2.5,1720,2.0,0,0,3,8,1720,0,1987,1999,47.6791,1890,10336,6.776744186046511,16,11.402215320359241
4,2.0,1490,1.0,0,0,4,6,1490,0,1942,0,47.712,2040,7200,9.218791946308725,73,7.688625515263338
3,2.0,2350,1.0,0,0,3,7,1600,750,1981,0,47.7661,2160,12000,5.31063829787234,34,11.520829072443226
3,1.75,2170,1.0,0,0,4,7,1110,1060,1925,0,47.6546,1890,4000,1.8433179723502304,90,3.3515829977083023
3,1.75,2110,2.0,0,0,4,7,2110,0,1966,0,47.4744,1800,10200,4.834123222748815,49,12.341944379211315
4,2.5,3340,2.0,0,0,3,10,3340,0,1996,0,47.6515,1770,9490,3.1203592814371257,19,7.042925328806734
3,2.25,2270,1.0,0,0,4,8,1740,530,1980,0,47.3451,2310,41606,14.146255506607929,35,21.20691427803071
3,2.5,3190,2.0,0,0,3,9,3190,0,2006,0,47.5047,2970,7828,2.4539184952978057,9,11.249662892846962
4,2.25,2520,1.0,0,2,3,8,1680,840,1970,0,47.3202,2300,8000,3.1746031746031744,45,19.901394500006855
2,1.0,950,1.0,0,0,4,6,950,0,1909,0,47.551,1230,4120,3.2526315789473683,106,4.628200401100348
4,2.5,3600,2.0,0,0,3,9,3400,200,1979,0,47.7597,3150,202989,56.50694444444444,36,18.088561919447674
3,2.25,1950,2.0,0,0,3,8,1950,0,1983,0,47.7213,1900,8750,4.56,32,13.06429599420275
3,2.75,1830,2.0,0,0,3,8,1830,0,1991,0,47.7155,2030,3331,1.7486338797814207,24,9.240108665958068
3,1.0,1270,1.0,0,0,3,7,1270,0,1955,0,47.7604,1390,8400,6.6141732283464565,60,12.354332280924705
2,1.75,1180,2.0,0,0,3,10,780,400,2014,0,47.6395,1380,3610,0.7627118644067796,1,2.3051124498972215
4,2.75,3210,1.0,0,0,4,8,1610,1600,1989,0,47.3493,2100,41384,12.987227414330219,26,21.794803372800214
4,1.75,2100,1.0,0,0,5,8,1280,820,1959,0,47.7478,2080,9000,4.932380952380952,56,9.786529033714112
5,3.25,2480,2.0,0,0,5,8,1640,840,1993,0,47.7726,2270,10277,4.1439516129032254,22,11.69543152882268
4,2.25,2270,1.0,0,0,5,8,1340,930,1954,0,47.6528,1800,5102,2.2475770925110132,61,4.788407854874734
3,1.5,970,1.0,0,0,3,7,970,0,1966,0,47.3284,1230,8400,8.65979381443299,49,19.191609663962176
2,1.5,830,2.0,0,0,3,7,830,0,2006,0,47.5604,830,1379,1.2289156626506024,9,3.4781761274727487
5,3.75,4210,2.0,0,3,3,10,4210,0,2004,0,47.5364,3950,13591,3.467695961995249,11,22.68398093310793
4,2.25,2130,2.0,0,0,4,8,2130,0,1977,0,47.5589,2170,8400,3.948356807511737,38,10.084340077528474
4,2.0,2040,2.0,0,1,3,7,2040,0,1961,0,47.6689,2560,8281,4.059313725490196,54,7.729539429577718
3,2.25,2160,2.0,0,0,3,8,2160,0,1991,0,47.3622,2000,7964,3.687037037037037,24,20.742124471264674
4,1.5,1570,1.0,0,0,3,7,1570,0,1943,0,47.4789,980,8775,5.589171974522293,72,8.79555780675419
3,1.75,1660,1.0,0,0,2,8,1660,0,1979,0,47.3118,1840,7673,4.427710843373494,36,20.33960129900643
3,1.0,960,1.0,0,0,4,7,960,0,1968,0,47.5539,970,4800,4.75,47,3.9268492406319813
4,2.5,2040,2.0,0,0,3,7,2040,0,1999,0,47.432,1720,6646,2.7073529411764707,16,12.036074894016572
3,2.25,1860,2.0,0,0,3,7,1860,0,1995,0,47.3875,1870,8378,4.504301075268817,20,20.632191946775617
3,1.0,1050,1.0,0,0,3,7,1050,0,1951,0,47.7533,1440,9071,8.65047619047619,64,10.229888001321946
3,3.5,2450,2.0,0,4,3,8,1960,490,1933,1993,47.5476,2620,10207,3.7746938775510204,22,5.059084865441171
4,2.5,2510,2.0,0,0,3,8,2510,0,2011,0,47.6894,2520,5436,2.1657370517928287,4,15.836964687333666
4,2.5,1980,2.0,0,0,3,7,1980,0,2004,0,47.3495,1980,4878,2.3964646464646466,11,22.397629727100746
4,3.75,4475,2.0,1,4,3,12,2659,1816,1999,0,47.6646,4340,5250,4.5640223463687155,16,7.0611364643878645
5,2.5,2590,2.0,0,0,3,8,2590,0,2014,0,47.7053,3010,4823,2.735135135135135,1,12.307190011437179
3,2.5,2510,2.0,0,0,3,8,2510,0,2007,0,47.6987,2520,3990,1.5215139442231076,8,12.739976322228122
3,2.5,2250,2.0,0,0,4,8,2250,0,1988,0,47.7489,2080,7033,3.445333333333333,27,12.012475809100739
3,1.0,1390,1.0,0,0,4,7,1390,0,1968,0,47.7438,1390,10095,9.225179856115108,47,15.306324847269643
5,1.75,1940,1.5,0,0,4,7,1940,0,1953,0,47.4663,2300,9500,3.4298969072164947,62,9.746561632256599
5,1.5,1690,1.5,0,0,4,7,1690,0,1961,0,47.3859,1690,7739,4.571005917159764,54,15.358706205203307
4,1.75,2330,1.0,0,2,4,7,1260,1070,1961,0,47.6148,2270,8800,3.776824034334764,54,10.253139714702273
4,2.5,2425,2.0,0,0,3,9,2425,0,2013,0,47.3003,2725,7019,3.7183505154639174,2,21.379355445706604
5,2.5,4250,1.0,0,1,4,11,2490,1760,1984,0,47.6377,3620,16304,4.809647058823529,31,6.060508418221246
2,3.0,1790,2.0,0,0,3,7,1400,390,2001,0,47.5926,1460,1462,0.9547486033519553,14,1.9308895058032243
4,2.5,2930,2.0,0,0,3,9,2930,0,1998,0,47.5937,2930,33976,6.211262798634812,17,13.34993373642519
4,2.5,3440,2.0,0,0,3,10,3440,0,2001,0,47.5347,3310,6528,1.8406976744186045,14,9.641532652200747
3,2.0,1590,2.0,0,0,3,8,1590,0,2000,0,47.3731,1670,9912,6.233962264150944,15,16.74333241708212
5,3.25,3500,2.0,0,0,3,11,3500,0,2001,0,47.5198,3500,11734,2.9877142857142855,14,10.132485097493056
1,1.0,730,1.0,0,0,4,4,730,0,1926,0,47.467,1790,7969,9.438356164383562,89,11.067601684054239
3,1.75,1730,1.0,0,0,5,7,1730,0,1972,0,47.3921,2030,17859,6.546242774566474,43,16.37542962053443
2,3.25,1570,2.0,0,0,3,8,1310,260,2006,0,47.548,1570,2039,1.2936305732484077,9,4.493162569929105
3,2.5,1690,2.0,0,0,3,7,1690,0,2005,0,47.6763,1690,3260,1.8153846153846154,10,15.001811067428019
4,2.75,3800,2.0,0,0,3,9,3800,0,2008,0,47.7368,3400,9677,2.5278947368421054,7,10.721201980986514
3,1.75,1340,1.0,0,0,4,7,1340,0,1961,0,47.7012,1340,10050,7.4440298507462686,54,10.051853901299811
2,1.0,800,1.0,0,0,3,7,800,0,1938,0,47.6978,1560,5110,6.35,77,6.384457142867952
