sqft_living,grade,bathrooms,distance_to_center,property_age,bedrooms,view,lat,floors,waterfront
4940,9,2.5,7.776079190421896,62,4,4,47.5095,1.0,0
1380,7,2.0,5.427600223216383,98,3,0,47.6807,1.5,0
3050,9,2.5,13.325327073942905,28,3,0,47.4326,1.0,0
1040,7,1.0,2.9739561758142536,91,3,0,47.6461,1.0,0
3366,8,4.0,3.9188381210272856,78,5,2,47.6466,2.5,0
1730,7,1.75,10.784659939247668,52,5,0,47.5008,1.0,0
1740,7,2.25,14.989320797141373,52,3,0,47.4149,1.0,0
2410,8,2.5,10.009055373371709,41,4,0,47.7153,1.0,0
2090,7,2.5,9.033800636711703,1,3,0,47.7369,1.0,0
1590,6,1.0,8.81851578368381,71,3,0,47.4789,1.5,0
1460,8,1.0,5.104798741955492,87,4,0,47.533,1.5,0
1430,7,1.0,8.715204722134995,71,2,0,47.7307,1.0,0
1320,8,2.5,5.061533450252333,11,2,0,47.5364,1.0,0
1660,8,1.5,2.340404941428171,108,3,0,47.6352,2.0,0
3200,9,2.5,4.8918635380377795,9,4,0,47.666,2.0,0
2750,8,2.5,7.907197914852869,67,4,3,47.4938,1.0,0
1180,8,1.0,4.639670052287506,105,1,2,47.5561,1.5,0
2052,8,2.5,22.436786273464506,1,4,0,47.2824,2.0,0
2530,9,2.5,5.1479572161887965,16,3,4,47.5465,2.5,0
1060,6,1.0,9.56335030748222,72,3,0,47.7281,1.0,0
2070,7,2.25,9.818592448883425,57,5,0,47.6095,1.0,0
2440,7,2.5,16.62879034557137,16,4,0,47.3817,2.0,0
1020,7,1.0,5.4702345298297,74,3,0,47.6787,1.0,0
2030,8,2.75,10.372127539207982,50,3,0,47.626,1.0,0
2260,7,2.25,10.328526715575979,25,3,0,47.7537,2.0,0
3000,8,3.5,8.188686441929185,36,6,0,47.7226,1.0,0
2670,7,3.0,11.091463934246283,34,5,0,47.6895,1.0,0
1150,6,1.0,3.8198675312893924,108,4,0,47.562,1.5,0
2770,7,2.75,8.611168850409566,36,5,0,47.4847,1.0,0
1790,7,1.5,2.892317060517663,87,4,0,47.5749,1.5,0
2100,8,2.25,18.84729142658781,36,3,0,47.3833,2.0,0
2630,9,2.5,11.785952050414632,26,3,0,47.7695,2.0,0
2240,8,2.0,9.728648576617639,54,4,0,47.693,1.0,0
3370,8,2.5,4.833324590422918,14,3,2,47.5442,2.0,0
3200,8,2.75,8.029354927303183,62,6,2,47.492,1.0,0
1500,7,2.25,9.68215717996352,29,3,0,47.7159,2.0,0
1040,6,1.0,15.977648318255044,42,2,0,47.3756,1.0,0
550,7,1.0,1.0832357771434784,7,1,0,47.616,2.0,0
4115,9,3.25,15.722646826831086,1,5,0,47.6847,2.0,0
1820,7,2.5,11.893491202041021,32,3,0,47.4575,2.0,0
1190,7,1.0,12.47182463216748,60,3,0,47.4258,1.0,0
1100,8,1.5,15.433781555488169,37,1,0,47.3829,1.5,0
1210,7,2.0,5.461722136029934,74,4,0,47.5275,1.0,0
2220,8,2.25,11.078092471233326,28,3,0,47.7635,2.0,0
1700,7,1.75,11.925494244694857,34,4,0,47.4801,1.0,0
3060,8,2.75,7.222793790653082,36,5,0,47.5052,1.0,0
1620,7,1.75,16.57182837091158,47,4,0,47.3808,1.0,0
1930,7,2.5,9.806270287638334,54,3,0,47.7481,1.0,0
2520,8,3.0,8.56163895343886,11,5,0,47.4938,1.0,0
3760,9,3.25,5.362424733237526,65,4,0,47.6687,1.5,0
2740,8,3.0,14.3090237174744,35,4,0,47.4538,1.0,0
1000,6,1.0,1.1863657523994067,113,2,0,47.6088,1.0,0
1550,7,1.5,7.0982027600992526,93,3,0,47.7072,2.0,0
750,6,1.0,6.1166239348609635,72,2,0,47.5188,1.0,0
870,6,1.0,2.0356664348991456,109,2,0,47.5849,1.5,0
1420,8,1.0,3.1897382886417276,89,5,0,47.5807,1.5,0
2810,8,2.5,14.582033831678492,14,3,0,47.6077,2.0,0
2100,8,3.0,1.7078695792110752,7,3,0,47.5973,2.0,0
950,6,1.0,2.491352697180224,105,2,0,47.5728,1.0,0
1995,8,2.25,21.324269191227394,34,4,0,47.2986,2.0,0
800,6,1.0,3.525124888049831,107,3,0,47.6546,1.0,0
1630,7,3.0,7.723299026494298,25,4,0,47.7168,1.0,0
3170,9,2.5,8.379520717175652,3,4,0,47.5187,2.0,0
2100,7,1.75,6.110411633548621,91,4,0,47.5299,1.5,0
3732,10,4.5,2.239233720891231,14,5,0,47.6189,2.5,0
1490,5,1.0,24.429783499579315,83,3,0,47.2597,1.5,0
2720,9,2.5,22.50930824048254,10,3,0,47.5422,2.0,0
1980,7,2.0,22.309077106704876,12,4,0,47.3231,1.0,0
700,4,1.0,16.142301515712298,95,2,0,47.3882,1.0,0
1570,7,1.75,10.05173073851638,59,3,0,47.4608,1.0,0
2340,8,1.0,2.727960378034018,97,5,0,47.5895,2.0,0
2500,9,2.75,1.6477663983015944,110,3,0,47.6258,2.0,0
1540,8,3.25,14.985453666286922,4,3,0,47.5397,2.0,0
1400,7,1.0,6.535374465328828,54,3,0,47.5119,1.0,0
2050,8,2.5,15.28760968262083,27,4,0,47.5641,2.0,0
2340,7,1.75,10.7282449191682,59,4,0,47.745,1.0,0
1530,7,2.25,23.12395943965177,36,3,0,47.2715,1.0,0
3690,9,3.25,11.279162680885038,38,5,0,47.7672,2.0,0
2000,7,2.75,10.617784574196826,1,3,0,47.4531,1.0,0
1530,7,1.75,13.33862383803222,47,4,0,47.4549,1.5,0
1690,8,1.75,13.637131082215063,31,3,0,47.6546,1.0,0
1590,7,1.5,31.96503183528168,44,3,0,47.2159,1.5,0
1400,7,2.5,17.268049557760154,27,3,0,47.3788,1.0,0
2060,8,2.5,21.968771735157773,1,3,0,47.3706,2.0,0
2497,8,2.5,22.15065099294875,8,3,0,47.2873,2.0,0
840,8,1.0,6.349864318663759,7,2,0,47.6974,3.0,0
2450,9,2.5,14.178692177672046,7,3,0,47.7749,2.0,0
2350,7,2.0,4.285292858317407,101,4,0,47.6681,1.5,0
2720,11,2.25,11.939031221827287,18,3,0,47.5473,2.0,0
1710,7,1.0,5.441622891049049,69,3,0,47.6706,1.0,0
2190,8,2.5,5.6052310378347485,59,3,0,47.6685,1.0,0
1320,7,2.5,5.396886572712476,10,3,0,47.5355,2.0,0
2290,9,2.5,8.620109313190866,14,3,0,47.5443,2.0,0
1250,7,1.0,5.588149052601769,67,2,0,47.5318,1.0,0
960,7,1.0,6.277949176442299,64,2,0,47.6955,1.0,0
900,6,1.0,27.142062613075492,77,2,0,47.4735,1.0,0
1570,7,2.5,4.236624231897886,6,2,0,47.5488,2.0,0
1560,7,1.0,7.169784197508024,76,4,0,47.5093,1.0,0
2940,9,2.25,4.7837672048451925,1,3,0,47.5482,3.0,0
2530,6,3.0,7.683625933070622,37,6,0,47.6716,1.0,0
1950,7,2.5,15.506626373704878,23,3,0,47.4068,2.0,0
1360,8,3.5,4.748126538122516,8,3,0,47.6697,2.0,0
2930,9,3.75,10.932751367874383,2,6,3,47.5441,2.0,0
3930,10,3.5,13.974901982039237,12,4,0,47.7497,2.0,0
2720,9,2.25,8.920468131851806,39,4,0,47.5616,2.0,0
1890,7,1.5,18.037072856136184,49,3,0,47.3454,1.0,0
3190,9,3.25,15.855909070066215,8,3,0,47.5534,2.0,0
1100,7,1.0,16.001588176435106,108,4,0,47.3858,1.0,0
2650,9,2.5,10.36740106717785,61,4,2,47.7537,1.0,0
930,7,1.0,6.701594881035466,62,2,0,47.6952,1.0,0
1500,7,1.75,9.817498243461477,18,3,0,47.7293,1.0,0
1280,7,1.0,5.982593736524588,67,3,0,47.5259,1.0,0
3710,9,2.5,15.121983639739446,12,4,0,47.5596,2.0,0
3070,8,2.5,7.5323439580364635,57,4,0,47.5935,1.0,0
3130,10,2.5,14.021547905247063,25,4,0,47.56,2.0,0
3160,6,1.5,25.52086550618173,47,4,0,47.3103,1.5,0
2456,8,2.5,21.3790716982285,3,3,0,47.297,2.0,0
1870,8,2.5,14.522406471250088,12,3,0,47.4521,2.0,0
1200,6,1.0,19.349080514936304,54,3,0,47.3262,1.0,0
1230,7,1.5,4.200643178693036,88,3,0,47.667,1.0,0
1790,7,1.75,14.652481245725212,55,3,0,47.3945,1.0,0
1910,8,1.75,20.625889626469263,52,3,0,47.3095,1.5,0
3600,9,4.0,4.6999009704868655,9,6,0,47.6531,2.0,0
1540,8,2.0,16.084126893647134,10,3,0,47.5479,2.0,0
1800,8,2.25,6.217192056777536,1,4,0,47.5167,2.0,0
2753,9,2.5,15.030500912220567,62,3,2,47.4041,1.0,1
1720,8,2.5,11.402215320359241,16,3,0,47.6791,2.0,0
1490,6,2.0,7.688625515263338,73,4,0,47.712,1.0,0
2350,7,2.0,11.520829072443226,34,3,0,47.7661,1.0,0
2170,7,1.75,3.3515829977083023,90,3,0,47.6546,1.0,0
2110,7,1.75,12.341944379211315,49,3,0,47.4744,2.0,0
3340,10,2.5,7.042925328806734,19,4,0,47.6515,2.0,0
2270,8,2.25,21.20691427803071,35,3,0,47.3451,1.0,0
3190,9,2.5,11.249662892846962,9,3,0,47.5047,2.0,0
2520,8,2.25,19.901394500006855,45,4,2,47.3202,1.0,0
950,6,1.0,4.628200401100348,106,2,0,47.551,1.0,0
3600,9,2.5,18.088561919447674,36,4,0,47.7597,2.0,0
1950,8,2.25,13.06429599420275,32,3,0,47.7213,2.0,0
1830,8,2.75,9.240108665958068,24,3,0,47.7155,2.0,0
1270,7,1.0,12.354332280924705,60,3,0,47.7604,1.0,0
1180,10,1.75,2.3051124498972215,1,2,0,47.6395,2.0,0
3210,8,2.75,21.794803372800214,26,4,0,47.3493,1.0,0
2100,8,1.75,9.786529033714112,56,4,0,47.7478,1.0,0
2480,8,3.25,11.69543152882268,22,5,0,47.7726,2.0,0
2270,8,2.25,4.788407854874734,61,4,0,47.6528,1.0,0
970,7,1.5,19.191609663962176,49,3,0,47.3284,1.0,0
830,7,1.5,3.4781761274727487,9,2,0,47.5604,2.0,0
4210,10,3.75,22.68398093310793,11,5,3,47.5364,2.0,0
2130,8,2.25,10.084340077528474,38,4,0,47.5589,2.0,0
2040,7,2.0,7.729539429577718,54,4,1,47.6689,2.0,0
2160,8,2.25,20.742124471264674,24,3,0,47.3622,2.0,0
1570,7,1.5,8.79555780675419,72,4,0,47.4789,1.0,0
1660,8,1.75,20.33960129900643,36,3,0,47.3118,1.0,0
960,7,1.0,3.9268492406319813,47,3,0,47.5539,1.0,0
2040,7,2.5,12.036074894016572,16,4,0,47.432,2.0,0
1860,7,2.25,20.632191946775617,20,3,0,47.3875,2.0,0
1050,7,1.0,10.229888001321946,64,3,0,47.7533,1.0,0
2450,8,3.5,5.059084865441171,22,3,4,47.5476,2.0,0
2510,8,2.5,15.836964687333666,4,4,0,47.6894,2.0,0
1980,7,2.5,22.397629727100746,11,4,0,47.3495,2.0,0
4475,12,3.75,7.0611364643878645,16,4,4,47.6646,2.0,1
2590,8,2.5,12.307190011437179,1,5,0,47.7053,2.0,0
2510,8,2.5,12.739976322228122,8,3,0,47.6987,2.0,0
2250,8,2.5,12.012475809100739,27,3,0,47.7489,2.0,0
1390,7,1.0,15.306324847269643,47,3,0,47.7438,1.0,0
1940,7,1.75,9.746561632256599,62,5,0,47.4663,1.5,0
1690,7,1.5,15.358706205203307,54,5,0,47.3859,1.5,0
2330,7,1.75,10.253139714702273,54,4,2,47.6148,1.0,0
2425,9,2.5,21.379355445706604,2,4,0,47.3003,2.0,0
4250,11,2.5,6.060508418221246,31,5,1,47.6377,1.0,0
1790,7,3.0,1.9308895058032243,14,2,0,47.5926,2.0,0
2930,9,2.5,13.34993373642519,17,4,0,47.5937,2.0,0
3440,10,2.5,9.641532652200747,14,4,0,47.5347,2.0,0
1590,8,2.0,16.74333241708212,15,3,0,47.3731,2.0,0
3500,11,3.25,10.132485097493056,14,5,0,47.5198,2.0,0
730,4,1.0,11.067601684054239,89,1,0,47.467,1.0,0
1730,7,1.75,16.37542962053443,43,3,0,47.3921,1.0,0
1570,8,3.25,4.493162569929105,9,2,0,47.548,2.0,0
1690,7,2.5,15.001811067428019,10,3,0,47.6763,2.0,0
3800,9,2.75,10.721201980986514,7,4,0,47.7368,2.0,0
1340,7,1.75,10.051853901299811,54,3,0,47.7012,1.0,0
800,7,1.0,6.384457142867952,77,2,0,47.6978,1.0,0
1540,8,2.5,16.013326784522754,1,4,0,47.5521,2.0,0
1720,7,2.0,5.756747140732571,9,4,0,47.5252,1.0,0
1070,8,1.5,5.239573925103886,10,2,0,47.6699,3.0,0
3786,9,3.25,15.845706280025546,9,3,4,47.3907,1.0,1
3010,10,2.5,13.188251630630962,23,4,0,47.578,2.0,0
1530,7,2.5,4.707904449796709,14,3,0,47.5434,2.0,0
1040,7,1.0,16.131028920996506,44,3,0,47.3731,1.0,0
1690,7,1.0,12.485631452616072,60,3,0,47.4256,1.0,0
1160,7,1.75,19.05815776262066,17,3,0,47.3414,1.0,0
1470,8,1.0,2.619988846535106,103,2,0,47.6391,1.5,0
1380,8,2.5,2.532861474287206,7,3,0,47.6427,3.0,0
2780,8,2.75,3.635857303123395,111,3,2,47.6565,2.0,0
2390,10,2.25,4.022171678880309,67,3,1,47.6515,1.0,0
2390,8,1.75,10.485002710483423,36,4,0,47.7061,1.0,0
3290,8,2.75,8.629805174592216,22,3,0,47.5241,2.0,0
850,7,1.0,5.719303256846992,88,2,0,47.6875,1.0,0
740,6,1.0,5.762163235590913,91,2,0,47.688,1.0,0
2440,8,2.5,7.605621332213363,54,4,0,47.5606,1.0,0
2570,11,2.5,1.7060466591278491,31,3,0,47.6295,2.0,0
1010,6,1.0,8.243226185639301,60,3,0,47.4872,1.0,0
5220,11,4.5,14.610108800057272,14,5,0,47.7666,2.0,0
930,7,1.0,5.674080261934155,2,2,3,47.5333,1.0,0
2210,7,1.75,8.769576760095019,49,3,0,47.4968,1.0,0
1950,7,2.5,18.345960005235206,25,3,0,47.343,2.0,0
2980,8,2.5,14.913349352317876,14,4,0,47.6872,2.0,0
2230,7,1.75,9.917809760302728,48,4,0,47.5859,1.0,0
1160,7,1.0,11.144033373298253,58,3,0,47.7675,1.0,0
1680,7,2.0,32.11965862079797,22,3,0,47.1959,1.0,0
1680,8,1.5,12.167647862823658,51,3,0,47.4811,1.0,0
1200,6,1.0,13.982280110071944,98,2,2,47.4039,1.0,0
3100,10,2.5,16.583761147026635,21,4,0,47.7646,2.0,0
2320,9,2.25,5.85817639721806,78,2,4,47.681,1.5,0
2050,8,1.75,6.0301400815122586,42,3,0,47.5743,1.0,0
900,6,1.0,12.76568404778789,61,2,0,47.4217,1.0,0
2340,9,2.75,2.688873571994267,61,3,0,47.632,1.0,0
2020,7,1.75,15.11473929791084,40,3,0,47.4189,2.0,0
1570,7,1.5,26.846879297571732,43,3,0,47.4866,1.0,0
2870,8,2.5,4.7126108724303775,53,5,0,47.6308,2.0,0
1870,8,2.5,11.42199822202795,15,3,0,47.4615,2.0,0
1980,8,2.5,15.358890721476005,6,3,0,47.5456,2.0,0
1250,7,1.75,5.5976509841611435,90,3,0,47.685,1.0,0
1860,8,3.0,4.259776054790214,6,3,0,47.5511,2.0,0
2340,8,2.5,27.543043900367092,2,3,0,47.4832,2.0,0
2080,7,1.75,18.64210381586971,49,4,0,47.3385,1.0,0
1190,7,1.0,6.858132042953934,58,3,0,47.5131,1.0,0
2090,7,1.75,10.853048989205742,48,3,0,47.7326,1.0,0
2120,9,2.5,12.362654062932037,10,3,0,47.6649,2.0,0
2650,9,2.75,11.686805719034314,26,3,0,47.768,1.0,0
1600,7,1.0,28.830091489335153,44,3,0,47.4431,1.0,0
3880,7,2.75,14.724844134694772,11,4,0,47.6777,2.0,0
2320,6,1.0,7.197635386589751,73,2,0,47.504,2.0,0
1660,7,1.75,28.328268166603625,36,3,0,47.4473,1.0,0
1160,7,1.0,15.296052307295584,47,3,0,47.7427,1.0,0
3790,11,3.5,14.928488176279552,17,4,0,47.6587,2.0,0
1790,7,2.0,12.254918260836865,35,3,0,47.4658,1.0,0
1790,7,1.75,14.54491322502043,46,4,0,47.522,1.0,0
720,6,1.0,5.55046966097636,75,1,0,47.5266,1.0,0
2538,8,2.5,24.859853281019483,2,3,0,47.2584,2.0,0
1480,7,2.5,7.31477271621789,47,3,0,47.7078,1.0,0
1070,7,1.5,6.31147503070736,16,2,0,47.697,2.0,0
3180,9,3.75,8.101241733905267,3,4,0,47.6853,2.0,0
1110,7,1.5,5.209543987783081,6,2,0,47.5427,2.0,0
1140,6,1.0,8.29759620163211,73,3,0,47.4874,1.0,0
2500,8,3.0,9.913858298872068,44,5,0,47.5696,1.0,0
2430,9,2.5,14.822129496259045,14,5,0,47.4487,2.0,0
1800,8,1.75,13.887798729255849,48,3,0,47.4496,1.0,0
1340,7,2.0,20.49446739577259,41,3,0,47.5644,1.0,0
1010,7,2.0,1.3131692774132078,110,3,0,47.6066,1.5,0
1680,8,3.0,3.582681382822514,1,3,0,47.6572,3.0,0
1050,6,1.0,4.583205568868673,105,2,3,47.5577,1.5,0
880,6,0.5,2.9453382336563823,105,1,0,47.5732,1.0,0
4250,10,3.25,18.391736018014633,48,6,3,47.34,1.0,0
1040,7,1.0,6.801835439018821,61,2,0,47.5078,1.0,0
870,7,1.0,4.388889717964206,78,2,0,47.5467,1.0,0
880,6,1.0,4.765196701852186,91,2,0,47.6749,1.0,0
1770,7,2.5,19.793129129771497,14,4,0,47.3672,2.0,0
1880,6,2.0,11.062452738992915,63,3,0,47.5091,1.0,0
1230,6,1.0,19.31609374348387,50,3,0,47.3266,1.0,0
2650,8,2.75,9.883008161307576,8,4,0,47.6155,2.0,0
990,6,1.0,2.8374887788114855,105,2,0,47.5828,1.0,0
1970,7,2.0,3.920852355110421,95,4,0,47.5511,1.5,0
3710,8,3.5,9.820325306538308,13,4,0,47.5041,2.0,0
2960,10,3.0,13.316245309032931,20,3,0,47.7183,2.0,0
2540,7,1.75,4.392179060904236,68,4,0,47.5579,1.0,0
1940,9,2.0,8.617680019587908,61,3,0,47.5913,1.0,0
3550,10,2.5,9.388861406560807,8,4,0,47.6776,2.0,0
1643,7,1.5,14.462382754849543,61,2,1,47.3973,1.0,0
1920,8,2.0,11.647737134306976,43,3,0,47.7735,1.0,0
1920,7,2.5,19.24183440081905,25,3,0,47.7317,2.0,0
2380,6,2.0,3.7050799023606382,1,4,0,47.5652,1.5,0
1580,7,1.0,3.9040628398713593,90,3,0,47.6505,1.0,0
2600,7,2.5,14.860529006321846,10,5,0,47.4324,2.0,0
2260,9,2.5,11.306529021214208,12,4,0,47.7247,2.0,0
1210,6,1.0,5.623491389297805,115,4,0,47.6872,1.5,0
810,6,1.0,4.131965084293031,74,2,0,47.5635,1.0,0
2060,7,2.0,3.2082264297550482,86,3,0,47.5705,1.0,0
1630,7,2.0,24.02010704568261,12,3,0,47.2638,1.0,0
1470,7,1.75,8.728616073838033,31,3,0,47.7325,1.0,0
1770,8,2.25,14.751612491990825,34,3,0,47.4464,1.0,0
3890,9,3.5,7.127629627297902,47,7,4,47.7011,2.0,0
1070,7,2.5,3.9452810516129646,10,3,0,47.5617,2.0,0
2180,7,1.75,17.51413716614988,77,3,0,47.3547,1.0,0
3780,10,3.5,15.746391033756252,14,4,2,47.5491,2.0,0
1530,7,2.5,11.540538566761477,22,3,0,47.4852,1.0,0
2720,9,2.5,17.107973256625826,23,4,0,47.3846,2.0,0
1510,8,1.75,10.26964826799233,53,3,0,47.6183,1.0,0
2460,7,1.75,3.8400846809411378,96,4,3,47.5601,1.5,0
3490,9,2.5,15.35546542624111,25,4,0,47.7406,2.0,0
3730,11,3.25,1.9154862535695283,30,4,2,47.6292,3.0,0
1320,6,1.0,7.8343676415576775,72,2,0,47.4949,1.0,0
1320,7,1.0,3.4966060139960526,103,3,0,47.5711,1.5,0
1570,8,2.25,10.711350860404895,35,3,0,47.7604,1.0,0
1690,7,2.0,9.740565816627724,48,4,0,47.6149,1.0,0
3820,11,3.25,7.3904503631213725,25,4,1,47.5263,2.0,0
6530,11,5.5,21.577373848849223,7,4,2,47.664,2.0,0
2200,8,2.5,22.34327756143063,15,3,0,47.5319,2.0,0
970,6,1.0,6.453842086361479,66,2,0,47.515,1.0,0
1320,7,1.0,5.3574918646610135,102,3,0,47.5288,1.5,0
1140,7,1.0,2.0356566395857882,107,2,0,47.6205,1.0,0
2130,8,2.5,4.714170814588593,43,2,0,47.6573,1.0,0
1720,8,1.5,4.047190029065406,100,5,0,47.6627,1.5,0
1390,8,2.0,31.624925496339632,10,3,0,47.2117,2.0,0
3040,10,3.0,13.878505882172346,28,4,0,47.6348,2.0,0
1320,7,1.0,4.498513401432525,95,3,0,47.6674,1.0,0
3655,8,3.0,10.460333906289671,60,5,0,47.6434,1.0,0
710,7,1.0,5.366648112809239,110,2,0,47.6765,1.0,0
1260,7,1.75,19.023987389656703,32,3,0,47.3574,1.0,0
2070,7,2.5,21.99915769452331,13,3,0,47.5307,2.0,0
2090,10,2.5,13.236480817430131,29,4,0,47.6304,2.0,0
2150,7,1.75,10.04168206802413,55,3,0,47.6253,1.0,0
2230,7,3.0,2.3858962145430462,102,5,0,47.6404,2.0,0
1480,7,1.5,22.745085492924915,58,3,0,47.2872,1.0,0
970,7,2.0,11.351081846228576,32,2,0,47.7223,1.0,0
1240,7,2.5,3.3590780285791926,8,2,0,47.5634,2.0,0
2483,8,3.0,17.939653125027732,10,4,0,47.3627,2.0,0
1220,7,1.75,9.983972032530245,94,2,0,47.4906,1.0,0
2400,7,3.75,1.735716259839345,10,4,0,47.6295,1.0,0
1550,8,2.25,17.575993259309346,26,3,0,47.3525,2.0,0
1730,7,1.5,4.18344350445576,68,3,0,47.5645,1.0,0
3290,9,3.5,12.087204815888112,11,5,0,47.7056,2.0,0
2240,7,3.0,4.3245059006316104,66,4,0,47.5598,2.0,0
970,7,2.0,12.609884502109288,43,3,0,47.6205,1.0,0
1000,6,1.0,10.039352452479001,99,2,0,47.4896,1.0,0
1740,7,2.25,16.375035073363748,34,3,0,47.3976,1.0,0
1400,8,2.5,3.4317515119684923,8,3,0,47.6534,3.5,0
740,6,1.0,6.923654859173624,73,2,0,47.506,1.0,0
2060,8,2.5,21.547076903809504,20,4,0,47.2956,2.0,0
2760,10,2.75,13.42881875141831,1,4,0,47.5819,2.0,0
1540,8,2.5,10.273427472605809,33,3,0,47.722,2.0,0
2500,7,2.75,20.88443846573518,15,3,0,47.3414,1.0,0
1995,8,1.5,15.386500908741839,24,2,1,47.4022,1.5,0
990,6,1.0,12.564405262624716,62,2,0,47.7669,1.0,0
1860,7,2.25,20.75171354867267,21,3,0,47.3864,2.0,0
1420,7,2.5,16.703877882085727,52,3,0,47.3661,1.0,0
2240,6,3.0,26.881148072170348,30,5,0,47.481,1.0,0
3320,10,3.5,7.323219096720745,38,4,2,47.527,1.0,0
2590,9,2.5,14.617087236618667,28,3,0,47.5516,1.0,0
2230,7,2.75,14.603009286511188,55,4,0,47.5246,1.0,0
1100,7,1.5,19.970888245320737,48,3,0,47.3186,1.0,0
2370,9,2.5,20.892911205514405,25,3,0,47.3067,2.0,0
1720,7,2.5,15.54967839652479,23,3,0,47.4034,2.0,0
2905,9,2.5,15.65305092271684,12,4,0,47.4084,2.0,0
1390,7,1.0,8.481376909753449,66,3,0,47.7289,1.0,0
2450,8,2.25,14.24967766022775,42,5,0,47.4519,2.0,0
2290,8,2.5,15.475653914823429,19,4,0,47.5714,2.0,0
1880,7,1.75,2.78295070149157,91,4,0,47.6431,1.5,0
1630,7,1.5,5.371679293397196,75,3,1,47.6725,1.0,0
3320,10,2.5,16.928438417339628,24,4,0,47.7478,2.0,0
2100,7,2.25,9.722965032353697,52,4,0,47.4676,1.0,0
1280,7,1.75,6.228891807808856,99,3,0,47.6871,1.5,0
2190,8,1.75,20.604249610072976,48,3,0,47.3098,1.0,0
1570,7,1.0,11.269037623203847,61,3,0,47.7683,1.0,0
1640,8,2.25,1.8830072346714495,1,3,0,47.6196,3.0,0
2500,8,2.5,22.651229357811665,8,4,0,47.3454,2.0,0
3181,8,2.5,23.173867222858124,1,4,0,47.2716,2.0,0
4200,10,3.25,17.628487100828103,22,4,0,47.5607,2.0,0
2920,8,3.0,3.334517553701125,23,5,0,47.654,2.0,0
2510,7,2.0,9.84421658508566,14,4,0,47.7005,1.0,0
3250,8,3.75,4.468893841340099,64,3,2,47.6481,2.0,0
1430,7,2.0,10.110438373207776,51,3,0,47.7206,1.0,0
